id,name,img-player,position,team,img-team,league,img-league,nation,img-nation,strong-foot,skill-moves,weak-foot,birth-date,height,workrates,type-card,over,div,han,kic,ref,spe,pos
107,Adam Federici,https://futhead.cursecdn.com/static/img/22/players/164853.png,GK,Macarthur FC,https://futhead.cursecdn.com/static/img/22/clubs/114604.png,A-League,https://futhead.cursecdn.com/static/img/22/leagues/351.png,Australia,https://futhead.cursecdn.com/static/img/22/nations/195.png,Right,1,2,31/01/1985,188cm,Medium/Medium,Silver,70,70,67,76,67,42,70
114,Adam Jakubech,https://futhead.cursecdn.com/static/img/22/players/240371.png,GK,LOSC Lille,https://futhead.cursecdn.com/static/img/22/clubs/65.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,Slovakia,https://futhead.cursecdn.com/static/img/22/nations/43.png,Right,1,3,2/1/1997,188cm,Medium/Medium,Silver,68,71,63,64,69,39,67
118,Adam Legzdins,https://futhead.cursecdn.com/static/img/22/players/182761.png,GK,Dundee FC,https://futhead.cursecdn.com/static/img/22/clubs/180.png,cinch Premiership,https://futhead.cursecdn.com/static/img/22/leagues/50.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,3,23/11/1986,190cm,Medium/Medium,Bronze,63,59,61,57,64,33,64
126,Adam Pavlesic,https://futhead.cursecdn.com/static/img/22/players/257892.png,GK,Sydney FC,https://futhead.cursecdn.com/static/img/22/clubs/111400.png,A-League,https://futhead.cursecdn.com/static/img/22/leagues/351.png,Australia,https://futhead.cursecdn.com/static/img/22/nations/195.png,Right,1,2,30/07/2002,189cm,Medium/Medium,Bronze,55,53,55,53,59,30,56
128,Adam Przybek,https://futhead.cursecdn.com/static/img/22/players/250925.png,GK,Wycombe,https://futhead.cursecdn.com/static/img/22/clubs/1933.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png,Wales,https://futhead.cursecdn.com/static/img/22/nations/50.png,Right,1,3,2/4/2000,183cm,Medium/Medium,Bronze,56,58,57,55,55,29,55
134,Adam Wilk,https://futhead.cursecdn.com/static/img/22/players/229008.png,GK,Cracovia,https://futhead.cursecdn.com/static/img/22/clubs/110747.png,PKO Bank Polski Ekstraklasa,https://futhead.cursecdn.com/static/img/22/leagues/66.png,Poland,https://futhead.cursecdn.com/static/img/22/nations/37.png,Right,1,2,21/11/1997,189cm,Medium/Medium,Bronze,60,59,62,55,56,42,61
172,Adrian Kostrzewski,https://futhead.cursecdn.com/static/img/22/players/262802.png,GK,Górnik Łęczna,https://futhead.cursecdn.com/static/img/22/clubs/110565.png,PKO Bank Polski Ekstraklasa,https://futhead.cursecdn.com/static/img/22/leagues/66.png,Poland,https://futhead.cursecdn.com/static/img/22/nations/37.png,Right,1,1,27/08/1998,195cm,Medium/Medium,Bronze,54,55,52,54,55,33,54
173,Adrian Lis,https://futhead.cursecdn.com/static/img/22/players/257640.png,GK,Warta Poznań,https://futhead.cursecdn.com/static/img/22/clubs/112511.png,PKO Bank Polski Ekstraklasa,https://futhead.cursecdn.com/static/img/22/leagues/66.png,Poland,https://futhead.cursecdn.com/static/img/22/nations/37.png,Right,1,3,28/05/1992,192cm,Medium/Medium,Bronze,64,65,61,59,67,42,62
178,Adrian Šemper,https://futhead.cursecdn.com/static/img/22/players/244274.png,GK,Genoa,https://futhead.cursecdn.com/static/img/22/clubs/110556.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Croatia,https://futhead.cursecdn.com/static/img/22/nations/10.png,Right,1,2,12/1/1998,194cm,Medium/Medium,Silver,74,74,74,63,75,31,75
190,Adrián,https://futhead.cursecdn.com/static/img/22/players/194911.png,GK,Liverpool,https://futhead.cursecdn.com/static/img/22/clubs/9.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Right,1,2,3/1/1987,190cm,Medium/Medium,Silver,74,77,70,68,77,45,72
199,Adrián Ortolá,https://futhead.cursecdn.com/static/img/22/players/204966.png,GK,Girona FC,https://futhead.cursecdn.com/static/img/22/clubs/110062.png,LaLiga SmartBank,https://futhead.cursecdn.com/static/img/22/leagues/54.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Left,1,5,20/08/1993,187cm,Medium/Medium,Silver,70,69,66,74,73,50,70
201,Adán,https://futhead.cursecdn.com/static/img/22/players/178086.png,GK,Sporting CP,https://futhead.cursecdn.com/static/img/22/clubs/237.png,Liga Portugal,https://futhead.cursecdn.com/static/img/22/leagues/308.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Left,1,2,13/05/1987,190cm,Medium/Medium,Gold,81,78,81,78,80,55,83
206,Agirrezabala,https://futhead.cursecdn.com/static/img/22/players/263880.png,GK,Athletic Club,https://futhead.cursecdn.com/static/img/22/clubs/448.png,LaLiga Santander,https://futhead.cursecdn.com/static/img/22/leagues/53.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Left,1,3,26/12/2000,187cm,Medium/Medium,Bronze,61,55,60,60,64,26,66
211,Agustín Marchesín,https://futhead.cursecdn.com/static/img/22/players/201095.png,GK,FC Porto,https://futhead.cursecdn.com/static/img/22/clubs/236.png,Liga Portugal,https://futhead.cursecdn.com/static/img/22/leagues/308.png,Argentina,https://futhead.cursecdn.com/static/img/22/nations/52.png,Right,1,3,16/03/1988,188cm,Medium/Medium,Gold,81,82,77,76,83,54,80
218,Ahmad Al Ruhaili,https://futhead.cursecdn.com/static/img/22/players/225061.png,GK,Al Raed,https://futhead.cursecdn.com/static/img/22/clubs/112392.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,1,3,6/10/1994,189cm,Medium/Medium,Bronze,58,62,57,52,56,43,57
221,Ahmed Al Kassar,https://futhead.cursecdn.com/static/img/22/players/209027.png,GK,Al Faisaly,https://futhead.cursecdn.com/static/img/22/clubs/112389.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,1,3,8/5/1991,177cm,Medium/Medium,Bronze,62,62,60,54,67,40,60
239,Ahmet Eyüp Türkaslan,https://futhead.cursecdn.com/static/img/22/players/236780.png,GK,Yeni Malatyaspor,https://futhead.cursecdn.com/static/img/22/clubs/113259.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Right,1,2,11/9/1994,188cm,Medium/Medium,Bronze,63,64,62,64,68,16,55
241,Ahmet Said Kıvanç,https://futhead.cursecdn.com/static/img/22/players/245610.png,GK,Başakşehir,https://futhead.cursecdn.com/static/img/22/clubs/101014.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Right,1,2,29/04/1998,189cm,Medium/Medium,Bronze,52,55,56,56,57,27,41
245,Aidan Stone,https://futhead.cursecdn.com/static/img/22/players/243594.png,GK,Port Vale,https://futhead.cursecdn.com/static/img/22/clubs/1928.png,EFL League Two,https://futhead.cursecdn.com/static/img/22/leagues/61.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,3,20/07/1999,186cm,Medium/Medium,Bronze,59,61,58,60,60,36,56
255,Aitor,https://futhead.cursecdn.com/static/img/22/players/193314.png,GK,Levante UD,https://futhead.cursecdn.com/static/img/22/clubs/1853.png,LaLiga Santander,https://futhead.cursecdn.com/static/img/22/leagues/53.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Right,1,2,3/5/1991,182cm,Medium/Medium,Gold,81,82,78,67,83,56,81
267,Akihiro Hayashi,https://futhead.cursecdn.com/static/img/22/players/197851.png,GK,F.C. Tokyo,https://futhead.cursecdn.com/static/img/22/clubs/101150.png,Meiji Yasuda J1 League,https://futhead.cursecdn.com/static/img/22/leagues/349.png,Japan,https://futhead.cursecdn.com/static/img/22/nations/163.png,Right,1,3,7/5/1987,195cm,Medium/Medium,Silver,70,72,65,63,74,49,71
274,Akinori Ichikawa,https://futhead.cursecdn.com/static/img/22/players/255582.png,GK,Yokohama FC,https://futhead.cursecdn.com/static/img/22/clubs/113197.png,Meiji Yasuda J1 League,https://futhead.cursecdn.com/static/img/22/leagues/349.png,Japan,https://futhead.cursecdn.com/static/img/22/nations/163.png,Right,1,2,19/10/1998,190cm,Medium/Medium,Bronze,58,63,58,52,62,24,48
286,Alan Mannus,https://futhead.cursecdn.com/static/img/22/players/110606.png,GK,Shamrock Rovers,https://futhead.cursecdn.com/static/img/22/clubs/306.png,SSE Airtricity Premier Division,https://futhead.cursecdn.com/static/img/22/leagues/65.png,Northern Ireland,https://futhead.cursecdn.com/static/img/22/nations/35.png,Right,1,3,19/05/1982,188cm,Medium/Medium,Silver,65,63,66,60,64,36,65
298,Alban Lafont,https://futhead.cursecdn.com/static/img/22/players/231691.png,GK,FC Nantes,https://futhead.cursecdn.com/static/img/22/clubs/71.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,1,3,23/01/1999,196cm,Medium/Medium,Gold,78,80,76,69,82,47,74
311,Alberto Brignoli,https://futhead.cursecdn.com/static/img/22/players/210358.png,GK,Panathinaikos,https://futhead.cursecdn.com/static/img/22/clubs/1884.png,Hellas Liga,https://futhead.cursecdn.com/static/img/22/leagues/63.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Left,1,3,19/08/1991,187cm,Medium/Medium,Silver,73,72,72,75,73,32,73
316,Alberto Paleari,https://futhead.cursecdn.com/static/img/22/players/235740.png,GK,Benevento,https://futhead.cursecdn.com/static/img/22/clubs/112026.png,Calcio B,https://futhead.cursecdn.com/static/img/22/leagues/2179.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Right,1,3,29/08/1992,193cm,Medium/Medium,Silver,70,70,68,67,71,32,71
323,Albino Gomes,https://futhead.cursecdn.com/static/img/22/players/248284.png,GK,Kerala Blasters,https://futhead.cursecdn.com/static/img/22/clubs/113299.png,Hero Indian Super League,https://futhead.cursecdn.com/static/img/22/leagues/2149.png,India,https://futhead.cursecdn.com/static/img/22/nations/159.png,Right,1,3,7/2/1994,189cm,Medium/Medium,Bronze,57,57,55,57,58,33,55
332,Alec Kann,https://futhead.cursecdn.com/static/img/22/players/213719.png,GK,FC Cincinnati,https://futhead.cursecdn.com/static/img/22/clubs/113149.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png,Left,1,3,8/8/1990,193cm,Medium/Medium,Bronze,64,64,62,62,62,43,66
333,Alec Kann,https://futhead.cursecdn.com/static/img/22/players/213719.png,GK,Atlanta United,https://futhead.cursecdn.com/static/img/22/clubs/112885.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png,Left,1,3,8/8/1990,193cm,Medium/Medium,Bronze,64,64,62,62,62,43,66
365,Aleksandr Vasyutin,https://futhead.cursecdn.com/static/img/22/players/219969.png,GK,Djurgårdens IF,https://futhead.cursecdn.com/static/img/22/clubs/710.png,Allsvenskan,https://futhead.cursecdn.com/static/img/22/leagues/56.png,Russia,https://futhead.cursecdn.com/static/img/22/nations/40.png,Right,1,3,4/3/1995,190cm,Medium/Medium,Silver,68,70,61,65,72,36,66
368,Alessandro Berardi,https://futhead.cursecdn.com/static/img/22/players/202793.png,GK,Hellas Verona,https://futhead.cursecdn.com/static/img/22/clubs/206.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Right,1,2,16/01/1991,185cm,Medium/Medium,Bronze,62,61,58,56,64,50,63
371,Alessandro Damen,https://futhead.cursecdn.com/static/img/22/players/223732.png,GK,Heracles Almelo,https://futhead.cursecdn.com/static/img/22/clubs/100634.png,Eredivisie,https://futhead.cursecdn.com/static/img/22/leagues/10.png,Netherlands,https://futhead.cursecdn.com/static/img/22/nations/34.png,Right,1,2,17/05/1990,188cm,Medium/Medium,Silver,66,68,60,65,65,48,68
374,Alessandro Plizzari,https://futhead.cursecdn.com/static/img/22/players/236378.png,GK,Milan,https://futhead.cursecdn.com/static/img/22/clubs/47.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Right,1,3,11/3/2000,187cm,Medium/Medium,Silver,66,68,68,59,72,42,62
375,Alessandro Plizzari,https://futhead.cursecdn.com/static/img/22/players/236378.png,GK,Lecce,https://futhead.cursecdn.com/static/img/22/clubs/347.png,Calcio B,https://futhead.cursecdn.com/static/img/22/leagues/2179.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Right,1,3,11/3/2000,187cm,Medium/Medium,Silver,66,68,68,59,72,42,62
378,Alessio Abibi,https://futhead.cursecdn.com/static/img/22/players/260829.png,GK,Dundalk,https://futhead.cursecdn.com/static/img/22/clubs/837.png,SSE Airtricity Premier Division,https://futhead.cursecdn.com/static/img/22/leagues/65.png,Albania,https://futhead.cursecdn.com/static/img/22/nations/1.png,Right,1,2,4/12/1996,195cm,Medium/Medium,Bronze,56,55,58,53,55,20,56
380,Alessio Cragno,https://futhead.cursecdn.com/static/img/22/players/205659.png,GK,Cagliari,https://futhead.cursecdn.com/static/img/22/clubs/1842.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Right,1,3,28/06/1994,184cm,Medium/Medium,Gold,81,83,80,73,85,39,78
388,Alex Bass,https://futhead.cursecdn.com/static/img/22/players/225134.png,GK,Bradford City,https://futhead.cursecdn.com/static/img/22/clubs/1804.png,EFL League Two,https://futhead.cursecdn.com/static/img/22/leagues/61.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,3,1/4/1998,191cm,Medium/Medium,Silver,65,66,61,65,68,57,64
389,Alex Bass,https://futhead.cursecdn.com/static/img/22/players/225134.png,GK,Portsmouth,https://futhead.cursecdn.com/static/img/22/clubs/1790.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,3,1/4/1998,191cm,Medium/Medium,Silver,65,66,61,65,68,57,64
390,Alex Bono,https://futhead.cursecdn.com/static/img/22/players/226786.png,GK,Toronto FC,https://futhead.cursecdn.com/static/img/22/clubs/111651.png,Major League Soccer,https://futhead.cursecdn.com/static/img/22/leagues/39.png,United States,https://futhead.cursecdn.com/static/img/22/nations/95.png,Right,1,2,25/04/1994,191cm,Medium/Medium,Silver,68,67,66,66,70,41,66
391,Alex Cairns,https://futhead.cursecdn.com/static/img/22/players/203215.png,GK,Fleetwood Town,https://futhead.cursecdn.com/static/img/22/clubs/112260.png,EFL League One,https://futhead.cursecdn.com/static/img/22/leagues/60.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Left,1,3,4/1/1993,183cm,Medium/Medium,Silver,65,65,61,58,66,49,67
393,Alex Cordaz,https://futhead.cursecdn.com/static/img/22/players/149258.png,GK,Inter,https://futhead.cursecdn.com/static/img/22/clubs/44.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Right,1,1,1/1/1983,188cm,Medium/Medium,Silver,72,67,71,62,74,26,72
394,Alex Craninx,https://futhead.cursecdn.com/static/img/22/players/235213.png,GK,RFC Seraing,https://futhead.cursecdn.com/static/img/22/clubs/112695.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,Belgium,https://futhead.cursecdn.com/static/img/22/nations/7.png,Right,1,3,21/10/1995,194cm,Medium/Medium,Silver,66,67,63,62,68,36,65
406,Alex McCarthy,https://futhead.cursecdn.com/static/img/22/players/189324.png,GK,Southampton,https://futhead.cursecdn.com/static/img/22/clubs/17.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,2,3/12/1989,193cm,Medium/Medium,Gold,75,74,74,61,80,57,75
407,Alex Meret,https://futhead.cursecdn.com/static/img/22/players/225116.png,GK,Napoli,https://futhead.cursecdn.com/static/img/22/clubs/48.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Italy,https://futhead.cursecdn.com/static/img/22/nations/27.png,Left,1,3,22/03/1997,190cm,Medium/Medium,Gold,79,80,74,70,82,44,78
415,Alex Palmer,https://futhead.cursecdn.com/static/img/22/players/223909.png,GK,West Brom,https://futhead.cursecdn.com/static/img/22/clubs/109.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,3,10/8/1996,191cm,Medium/Medium,Silver,66,68,66,65,67,30,65
416,Alex Paulsen,https://futhead.cursecdn.com/static/img/22/players/263851.png,GK,Well. Phoenix,https://futhead.cursecdn.com/static/img/22/clubs/111766.png,A-League,https://futhead.cursecdn.com/static/img/22/leagues/351.png,New Zealand,https://futhead.cursecdn.com/static/img/22/nations/198.png,Right,1,3,4/7/2002,183cm,Medium/Medium,Bronze,58,57,52,58,64,47,53
423,Alex Smithies,https://futhead.cursecdn.com/static/img/22/players/184436.png,GK,Cardiff City,https://futhead.cursecdn.com/static/img/22/clubs/1961.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,England,https://futhead.cursecdn.com/static/img/22/nations/14.png,Right,1,2,5/3/1990,189cm,Medium/Medium,Silver,72,72,70,69,72,59,73
433,Alexander Brunst,https://futhead.cursecdn.com/static/img/22/players/223925.png,GK,Vejle Boldklub,https://futhead.cursecdn.com/static/img/22/clubs/822.png,3F Superliga,https://futhead.cursecdn.com/static/img/22/leagues/1.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Right,1,3,7/7/1995,195cm,Medium/Medium,Silver,66,68,65,61,67,41,64
438,Alexander Dlugaiczyk,https://futhead.cursecdn.com/static/img/22/players/262764.png,GK,TSV Havelse,https://futhead.cursecdn.com/static/img/22/clubs/110678.png,3. Liga,https://futhead.cursecdn.com/static/img/22/leagues/2076.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Left,1,2,17/02/1983,195cm,Medium/Medium,Bronze,58,60,59,60,57,27,59
452,Alexander Kofler,https://futhead.cursecdn.com/static/img/22/players/217502.png,GK,Wolfsberger AC,https://futhead.cursecdn.com/static/img/22/clubs/111822.png,Österreichische Fußball-Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/80.png,Austria,https://futhead.cursecdn.com/static/img/22/nations/4.png,Right,1,2,6/11/1986,194cm,Medium/Medium,Silver,67,65,66,62,67,46,69
454,Alexander Meyer,https://futhead.cursecdn.com/static/img/22/players/241050.png,GK,Regensburg,https://futhead.cursecdn.com/static/img/22/clubs/543.png,Bundesliga 2,https://futhead.cursecdn.com/static/img/22/leagues/20.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Right,1,3,13/04/1991,195cm,Medium/Medium,Silver,70,71,70,67,70,25,70
458,Alexander Nübel,https://futhead.cursecdn.com/static/img/22/players/223885.png,GK,AS Monaco,https://futhead.cursecdn.com/static/img/22/clubs/69.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Right,1,5,30/09/1996,193cm,Medium/Medium,Gold,75,75,65,71,85,48,76
462,Alexander Schlager,https://futhead.cursecdn.com/static/img/22/players/215522.png,GK,LASK,https://futhead.cursecdn.com/static/img/22/clubs/252.png,Österreichische Fußball-Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/80.png,Austria,https://futhead.cursecdn.com/static/img/22/nations/4.png,Right,1,3,1/2/1996,184cm,Medium/Medium,Silver,74,75,69,66,77,34,73
465,Alexander Schwolow,https://futhead.cursecdn.com/static/img/22/players/202789.png,GK,Hertha Berlin,https://futhead.cursecdn.com/static/img/22/clubs/166.png,Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/19.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Right,1,3,2/6/1992,190cm,Medium/Medium,Gold,77,76,75,66,80,37,76
470,Alexander Walke,https://futhead.cursecdn.com/static/img/22/players/121134.png,GK,RB Salzburg,https://futhead.cursecdn.com/static/img/22/clubs/191.png,Österreichische Fußball-Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/80.png,Germany,https://futhead.cursecdn.com/static/img/22/nations/21.png,Right,1,3,6/6/1983,189cm,Medium/Medium,Silver,68,66,68,72,64,36,73
474,Alexandr Maksimenko,https://futhead.cursecdn.com/static/img/22/players/233791.png,GK,Spartak Moscow,https://futhead.cursecdn.com/static/img/22/clubs/100767.png,League of Russia,https://futhead.cursecdn.com/static/img/22/leagues/3006.png,Russia,https://futhead.cursecdn.com/static/img/22/nations/40.png,Left,1,3,19/03/1998,187cm,Medium/Medium,Silver,74,75,70,67,78,47,72
475,Alexandr Selikhov,https://futhead.cursecdn.com/static/img/22/players/213732.png,GK,Spartak Moscow,https://futhead.cursecdn.com/static/img/22/clubs/100767.png,League of Russia,https://futhead.cursecdn.com/static/img/22/leagues/3006.png,Russia,https://futhead.cursecdn.com/static/img/22/nations/40.png,Right,1,4,7/4/1994,190cm,Medium/Medium,Silver,72,72,69,71,74,39,74
484,Alexandre Letellier,https://futhead.cursecdn.com/static/img/22/players/199574.png,GK,Paris SG,https://futhead.cursecdn.com/static/img/22/clubs/73.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,1,2,11/12/1990,193cm,Medium/Medium,Silver,69,68,67,62,72,38,67
486,Alexandre Olliero,https://futhead.cursecdn.com/static/img/22/players/231105.png,GK,Pau FC,https://futhead.cursecdn.com/static/img/22/clubs/110321.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,1,2,15/02/1996,193cm,Medium/Medium,Silver,67,68,63,66,70,46,65
