id,name,img-player,position,team,img-team,league,img-league,nation,img-nation,strong-foot,skill-moves,weak-foot,birth-date,height,workrates,type-card,over,pac,sho,pas,dri,def,phy
25,Aarón,https://futhead.cursecdn.com/static/img/22/players/236295.png,LB,1. FSV Mainz 05,https://futhead.cursecdn.com/static/img/22/clubs/169.png,Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/19.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Left,3,3,22/04/1997,178cm,High/Medium,Silver,74,64,47,71,74,71,64
26,Abdallah Ndour,https://futhead.cursecdn.com/static/img/22/players/215383.png,LB,FCSM,https://futhead.cursecdn.com/static/img/22/clubs/226.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png,Senegal,https://futhead.cursecdn.com/static/img/22/nations/136.png,Left,2,3,20/12/1993,186cm,Medium/Medium,Silver,68,70,32,62,65,67,66
27,Abdallah Sima,https://futhead.cursecdn.com/static/img/22/players/259816.png,RM,Stoke City,https://futhead.cursecdn.com/static/img/22/clubs/1806.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Senegal,https://futhead.cursecdn.com/static/img/22/nations/136.png,Right,2,4,17/06/2001,188cm,High/High,Silver,73,87,74,62,69,41,73
28,Abdel Hakim Abdallah,https://futhead.cursecdn.com/static/img/22/players/237347.png,LB,Grenoble Foot 38,https://futhead.cursecdn.com/static/img/22/clubs/1805.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png,Comoros,https://futhead.cursecdn.com/static/img/22/nations/214.png,Left,2,3,18/08/1997,170cm,Medium/Medium,Silver,65,80,37,56,63,60,65
29,Abdelhamid El Kaoutari,https://futhead.cursecdn.com/static/img/22/players/188145.png,CB,AS Nancy Lorraine,https://futhead.cursecdn.com/static/img/22/clubs/1823.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png,Morocco,https://futhead.cursecdn.com/static/img/22/nations/129.png,Left,2,3,17/03/1990,181cm,Low/High,Silver,66,58,32,56,55,64,73
30,Abderrazak Hamdallah,https://futhead.cursecdn.com/static/img/22/players/213761.png,ST,Al Ittihad,https://futhead.cursecdn.com/static/img/22/clubs/607.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Morocco,https://futhead.cursecdn.com/static/img/22/nations/129.png,Right,3,4,17/12/1990,180cm,Medium/Low,Gold,77,74,78,70,77,30,72
31,Abdou Diallo,https://futhead.cursecdn.com/static/img/22/players/225711.png,CB,Paris SG,https://futhead.cursecdn.com/static/img/22/clubs/73.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,Senegal,https://futhead.cursecdn.com/static/img/22/nations/136.png,Left,3,3,4/5/1996,187cm,Medium/Medium,Gold,78,74,39,71,76,78,77
32,Abdou Harroui,https://futhead.cursecdn.com/static/img/22/players/241937.png,CDM,Sassuolo,https://futhead.cursecdn.com/static/img/22/clubs/111974.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,Netherlands,https://futhead.cursecdn.com/static/img/22/nations/34.png,Right,3,5,13/01/1998,182cm,Medium/Medium,Silver,73,74,68,70,75,67,76
33,Abdoul Fessal Tapsoba,https://futhead.cursecdn.com/static/img/22/players/253225.png,RW,Standard Liège,https://futhead.cursecdn.com/static/img/22/clubs/232.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,Burkina Faso,https://futhead.cursecdn.com/static/img/22/nations/101.png,Right,3,3,23/08/2001,177cm,Medium/Medium,Silver,66,83,66,51,70,22,54
34,Abdoul Kader Bamba,https://futhead.cursecdn.com/static/img/22/players/246790.png,RM,Amiens SC,https://futhead.cursecdn.com/static/img/22/clubs/1816.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,4,3,25/05/1994,177cm,High/Low,Silver,72,82,64,68,74,42,57
35,Abdoulaye Ba,https://futhead.cursecdn.com/static/img/22/players/204826.png,CB,Arouca,https://futhead.cursecdn.com/static/img/22/clubs/112513.png,Liga Portugal,https://futhead.cursecdn.com/static/img/22/leagues/308.png,Senegal,https://futhead.cursecdn.com/static/img/22/nations/136.png,Right,2,3,1/1/1991,197cm,Low/Medium,Silver,66,42,38,46,42,64,76
36,Abdoulaye Bamba,https://futhead.cursecdn.com/static/img/22/players/199313.png,RB,Angers SCO,https://futhead.cursecdn.com/static/img/22/clubs/1530.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,Ivory Coast,https://futhead.cursecdn.com/static/img/22/nations/108.png,Right,2,3,25/04/1990,182cm,High/Medium,Silver,73,78,41,65,65,70,72
37,Abdoulaye Doucouré,https://futhead.cursecdn.com/static/img/22/players/208135.png,CM,Everton,https://futhead.cursecdn.com/static/img/22/clubs/7.png,Premier League,https://futhead.cursecdn.com/static/img/22/leagues/13.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,3,3,1/1/1993,184cm,High/High,Gold,79,70,76,72,76,77,81
38,Abdoulaye Seck,https://futhead.cursecdn.com/static/img/22/players/217620.png,CB,Royal Antwerp FC,https://futhead.cursecdn.com/static/img/22/clubs/230.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,Senegal,https://futhead.cursecdn.com/static/img/22/nations/136.png,Right,2,4,4/6/1992,192cm,High/High,Silver,73,74,47,57,58,71,86
39,Abdoulaye Sissako,https://futhead.cursecdn.com/static/img/22/players/235799.png,CDM,Zulte Waregem,https://futhead.cursecdn.com/static/img/22/clubs/15005.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,2,3,26/05/1998,186cm,Medium/Medium,Silver,68,70,54,64,67,66,74
40,Abdoulaye Touré,https://futhead.cursecdn.com/static/img/22/players/210450.png,CDM,Karagümrük SK,https://futhead.cursecdn.com/static/img/22/clubs/111117.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,2,3,3/3/1994,188cm,Medium/Medium,Silver,72,39,56,59,58,74,80
41,Abdoulaye Touré,https://futhead.cursecdn.com/static/img/22/players/210450.png,CDM,Genoa,https://futhead.cursecdn.com/static/img/22/clubs/110556.png,Serie A TIM,https://futhead.cursecdn.com/static/img/22/leagues/31.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,2,3,3/3/1994,188cm,Medium/Medium,Silver,72,39,56,59,58,74,80
42,Abdoulie Sanyang,https://futhead.cursecdn.com/static/img/22/players/257831.png,RM,K Beerschot VA,https://futhead.cursecdn.com/static/img/22/clubs/675.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,Gambia,https://futhead.cursecdn.com/static/img/22/nations/116.png,Left,3,3,8/5/1999,173cm,High/High,Silver,67,84,60,56,74,40,56
43,Abdoulie Sanyang,https://futhead.cursecdn.com/static/img/22/players/257831.png,RM,Grenoble Foot 38,https://futhead.cursecdn.com/static/img/22/clubs/1805.png,Ligue 2 BKT,https://futhead.cursecdn.com/static/img/22/leagues/17.png,Gambia,https://futhead.cursecdn.com/static/img/22/nations/116.png,Left,3,3,8/5/1999,173cm,High/High,Silver,67,84,60,56,74,40,56
44,Abdourahmane Barry,https://futhead.cursecdn.com/static/img/22/players/258625.png,CB,Fürth,https://futhead.cursecdn.com/static/img/22/clubs/165.png,Bundesliga,https://futhead.cursecdn.com/static/img/22/leagues/19.png,France,https://futhead.cursecdn.com/static/img/22/nations/18.png,Right,2,3,21/02/2000,185cm,Low/Medium,Bronze,64,72,25,31,45,65,69
45,Abdu Cadri Conté,https://futhead.cursecdn.com/static/img/22/players/247180.png,LB,Moreirense FC,https://futhead.cursecdn.com/static/img/22/clubs/1900.png,Liga Portugal,https://futhead.cursecdn.com/static/img/22/leagues/308.png,Portugal,https://futhead.cursecdn.com/static/img/22/nations/38.png,Left,3,2,24/03/1998,183cm,Medium/High,Silver,68,76,46,52,65,65,76
46,Abdu Conté,https://futhead.cursecdn.com/static/img/22/players/247180.png,LB,ESTAC Troyes,https://futhead.cursecdn.com/static/img/22/clubs/294.png,Ligue 1 Uber Eats,https://futhead.cursecdn.com/static/img/22/leagues/16.png,Portugal,https://futhead.cursecdn.com/static/img/22/nations/38.png,Left,3,2,24/03/1998,183cm,Medium/High,Silver,68,76,46,52,65,65,76
47,Abdul Khalili,https://futhead.cursecdn.com/static/img/22/players/202148.png,CM,Hammarby IF,https://futhead.cursecdn.com/static/img/22/clubs/708.png,Allsvenskan,https://futhead.cursecdn.com/static/img/22/leagues/56.png,Sweden,https://futhead.cursecdn.com/static/img/22/nations/46.png,Right,3,2,7/6/1992,180cm,Medium/Medium,Silver,70,69,66,69,72,64,70
49,Abdul Mumin,https://futhead.cursecdn.com/static/img/22/players/235662.png,CB,Vitória SC,https://futhead.cursecdn.com/static/img/22/clubs/1887.png,Liga Portugal,https://futhead.cursecdn.com/static/img/22/leagues/308.png,Ghana,https://futhead.cursecdn.com/static/img/22/nations/117.png,Right,3,4,6/6/1998,188cm,Medium/High,Silver,68,79,36,58,61,65,74
50,Abdul Rahman Baba,https://futhead.cursecdn.com/static/img/22/players/209620.png,LB,Reading,https://futhead.cursecdn.com/static/img/22/clubs/1793.png,EFL Championship,https://futhead.cursecdn.com/static/img/22/leagues/14.png,Ghana,https://futhead.cursecdn.com/static/img/22/nations/117.png,Left,3,4,2/7/1994,180cm,High/Medium,Silver,74,78,53,66,74,71,67
51,Abdulaziz Al Bishi,https://futhead.cursecdn.com/static/img/22/players/221772.png,RM,Al Ittihad,https://futhead.cursecdn.com/static/img/22/clubs/607.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,3,3,11/3/1994,173cm,Medium/Low,Silver,66,86,55,61,69,27,64
52,Abdulelah Al Amri,https://futhead.cursecdn.com/static/img/22/players/241197.png,CB,Al Nassr,https://futhead.cursecdn.com/static/img/22/clubs/112139.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,2,3,15/01/1997,185cm,Medium/Medium,Silver,72,71,28,47,45,69,83
53,Abdulelah Al Malki,https://futhead.cursecdn.com/static/img/22/players/230713.png,CM,Al Ittihad,https://futhead.cursecdn.com/static/img/22/clubs/607.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,2,3,11/10/1994,174cm,Medium/Medium,Silver,69,74,60,65,68,69,77
54,Abdulelah Al Malki,https://futhead.cursecdn.com/static/img/22/players/230713.png,CM,Al Hilal,https://futhead.cursecdn.com/static/img/22/clubs/605.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,2,3,11/10/1994,174cm,Medium/Medium,Silver,69,74,60,65,68,69,77
55,Abdulfatah Aseri,https://futhead.cursecdn.com/static/img/22/players/213007.png,RM,Al Nassr,https://futhead.cursecdn.com/static/img/22/clubs/112139.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,4,3,26/02/1994,167cm,High/Medium,Silver,67,82,63,61,72,28,52
56,Abdulkadir Parmak,https://futhead.cursecdn.com/static/img/22/players/245535.png,CDM,Trabzonspor,https://futhead.cursecdn.com/static/img/22/clubs/436.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Right,3,4,28/12/1994,176cm,Medium/Medium,Silver,73,75,69,71,74,71,69
57,Abdulkadir Parmak,https://futhead.cursecdn.com/static/img/22/players/245535.png,CDM,Kayserispor,https://futhead.cursecdn.com/static/img/22/clubs/101020.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Right,3,4,28/12/1994,176cm,Medium/Medium,Silver,73,75,69,71,74,71,69
58,Abdullah Al Hamdan,https://futhead.cursecdn.com/static/img/22/players/242223.png,ST,Al Hilal,https://futhead.cursecdn.com/static/img/22/clubs/605.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,2,4,12/9/1999,183cm,High/Low,Bronze,64,79,62,57,60,27,68
60,Abdullah Al Joui,https://futhead.cursecdn.com/static/img/22/players/237667.png,LM,Al Shabab,https://futhead.cursecdn.com/static/img/22/clubs/111674.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,3,3,2/3/1995,171cm,High/Medium,Silver,66,81,62,61,68,24,45
61,Abdullah Al Khaibari,https://futhead.cursecdn.com/static/img/22/players/237721.png,CDM,Al Nassr,https://futhead.cursecdn.com/static/img/22/clubs/112139.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,2,3,16/08/1996,175cm,Medium/High,Silver,65,68,43,59,61,63,68
64,Abdullah Al Shamekh,https://futhead.cursecdn.com/static/img/22/players/221812.png,LB,Al Shabab,https://futhead.cursecdn.com/static/img/22/clubs/111674.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,2,3,28/05/1993,179cm,Medium/Medium,Silver,65,76,40,56,62,59,69
66,Abdullah Al Zori,https://futhead.cursecdn.com/static/img/22/players/191260.png,LB,Abha Club,https://futhead.cursecdn.com/static/img/22/clubs/113058.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,2,2,13/08/1987,184cm,High/Medium,Silver,65,65,45,55,62,63,71
67,Abdullah Al Zori,https://futhead.cursecdn.com/static/img/22/players/191260.png,LB,Al Shabab,https://futhead.cursecdn.com/static/img/22/clubs/111674.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,2,2,13/08/1987,184cm,High/Medium,Silver,65,65,45,55,62,63,71
68,Abdullah Ateef,https://futhead.cursecdn.com/static/img/22/players/210926.png,CDM,Al Hilal,https://futhead.cursecdn.com/static/img/22/clubs/605.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,2,3,3/8/1992,177cm,Low/Medium,Silver,71,34,46,74,67,68,58
69,Abdullah Madu,https://futhead.cursecdn.com/static/img/22/players/213901.png,CB,Al Nassr,https://futhead.cursecdn.com/static/img/22/clubs/112139.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,2,3,15/07/1993,186cm,Low/Medium,Silver,67,43,26,44,40,68,75
71,Abdulmajeed Al Sulayhim,https://futhead.cursecdn.com/static/img/22/players/220895.png,CM,Al Nassr,https://futhead.cursecdn.com/static/img/22/clubs/112139.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,3,3,15/05/1994,171cm,High/Medium,Silver,69,73,60,67,75,58,64
72,Abdulrahman Al Obaid,https://futhead.cursecdn.com/static/img/22/players/228627.png,LB,Al Nassr,https://futhead.cursecdn.com/static/img/22/clubs/112139.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,2,3,30/04/1993,171cm,High/Medium,Silver,66,78,59,65,66,57,67
73,Abdulrahman Al Obaid,https://futhead.cursecdn.com/static/img/22/players/228627.png,LB,Al Hilal,https://futhead.cursecdn.com/static/img/22/clubs/605.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Left,2,3,30/04/1993,171cm,High/Medium,Silver,66,78,59,65,66,57,67
74,Abdulrahman Al Obud,https://futhead.cursecdn.com/static/img/22/players/238043.png,RM,Al Ittihad,https://futhead.cursecdn.com/static/img/22/clubs/607.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,3,2,1/6/1995,174cm,Medium/Medium,Silver,65,85,60,53,67,39,55
75,Abdulrahman Ghareeb,https://futhead.cursecdn.com/static/img/22/players/242117.png,LM,Al Ahli,https://futhead.cursecdn.com/static/img/22/clubs/112387.png,MBS Pro League,https://futhead.cursecdn.com/static/img/22/leagues/350.png,Saudi Arabia,https://futhead.cursecdn.com/static/img/22/nations/183.png,Right,3,3,31/03/1997,165cm,Medium/Medium,Silver,66,83,61,58,70,25,50
77,Abdón Prats,https://futhead.cursecdn.com/static/img/22/players/202716.png,ST,RCD Mallorca,https://futhead.cursecdn.com/static/img/22/clubs/453.png,LaLiga Santander,https://futhead.cursecdn.com/static/img/22/leagues/53.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Left,2,3,17/12/1992,181cm,Medium/Medium,Silver,70,67,75,59,67,29,62
78,Abdülkadir Ömür,https://futhead.cursecdn.com/static/img/22/players/231777.png,RW,Trabzonspor,https://futhead.cursecdn.com/static/img/22/clubs/436.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Left,4,3,25/06/1999,168cm,High/Medium,Silver,74,83,66,70,81,39,56
79,Abdülkerim Bardakcı,https://futhead.cursecdn.com/static/img/22/players/229905.png,CB,Konyaspor,https://futhead.cursecdn.com/static/img/22/clubs/101033.png,Süper Lig,https://futhead.cursecdn.com/static/img/22/leagues/68.png,Turkey,https://futhead.cursecdn.com/static/img/22/nations/48.png,Left,2,2,7/9/1994,190cm,Medium/Medium,Silver,69,48,32,47,54,70,74
80,Abel Mabaso,https://futhead.cursecdn.com/static/img/22/players/243856.png,RB,Orlando Pirates,https://futhead.cursecdn.com/static/img/22/clubs/110930.png,South African FL,https://futhead.cursecdn.com/static/img/22/leagues/347.png,South Africa,https://futhead.cursecdn.com/static/img/22/nations/140.png,Right,2,5,15/05/1991,173cm,High/High,Silver,66,69,42,64,57,65,64
81,Abel Ruiz,https://futhead.cursecdn.com/static/img/22/players/239250.png,ST,SC Braga,https://futhead.cursecdn.com/static/img/22/clubs/1896.png,Liga Portugal,https://futhead.cursecdn.com/static/img/22/leagues/308.png,Spain,https://futhead.cursecdn.com/static/img/22/nations/45.png,Right,4,3,28/01/2000,182cm,High/Medium,Silver,74,74,74,60,73,38,67
82,Ablie Jallow,https://futhead.cursecdn.com/static/img/22/players/239740.png,LM,RFC Seraing,https://futhead.cursecdn.com/static/img/22/clubs/112695.png,1A Pro League,https://futhead.cursecdn.com/static/img/22/leagues/4.png,Gambia,https://futhead.cursecdn.com/static/img/22/nations/116.png,Left,3,3,14/11/1998,166cm,High/Medium,Silver,65,78,57,61,69,24,41
